game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
5,1998-05-06,ECS,2,CHI,CHH,L (-2),40,10,21,0.476,0,3,0,2,3,0.667,1,4,5,6,0,0,0,22,16.2,
6,1998-05-08,ECS,3,CHI,CHH,W (+14),39,9,20,0.45,0,1,0,9,10,0.9,3,2,5,6,1,0,3,27,19.9,
7,1998-05-10,ECS,4,CHI,CHH,W (+14),40,14,31,0.452,0,1,0,3,3,1,0,3,3,4,1,0,2,31,17.2,
8,1998-05-13,ECS,5,CHI,CHH,W (+9),42,15,29,0.517,0,3,0,3,4,0.75,1,3,4,3,2,1,0,33,23.5,
9,1998-05-17,ECF,1,CHI,IND,W (+6),41,11,28,0.393,0,0,,9,10,0.9,2,4,6,1,5,0,1,31,22.3,
10,1998-05-19,ECF,2,CHI,IND,W (+6),42,13,22,0.591,0,1,0,15,18,0.833,0,4,4,5,4,0,0,41,37.1,
11,1998-05-23,ECF,3,CHI,IND,L (-2),44,9,22,0.409,2,3,0.667,10,12,0.833,1,3,4,7,1,0,5,30,18.7,
12,1998-05-25,ECF,4,CHI,IND,L (-2),41,12,27,0.444,1,3,0.333,3,4,0.75,2,3,5,2,0,2,6,28,11,
13,1998-05-27,ECF,5,CHI,IND,W (+19),36,12,20,0.6,2,4,0.5,3,4,0.75,1,6,7,4,1,1,0,29,25.6,
14,1998-05-29,ECF,6,CHI,IND,L (-3),42,12,23,0.522,1,4,0.25,10,11,0.909,1,4,5,2,1,0,3,35,23,
15,1998-05-31,ECF,7,CHI,IND,W (+5),42,9,25,0.36,0,0,,10,15,0.667,5,4,9,8,0,0,2,28,19.2,
16,1998-06-03,FIN,1,CHI,UTA,L (-3),46,13,29,0.448,1,2,0.5,6,8,0.75,1,2,3,2,0,2,0,33,20,
17,1998-06-05,FIN,2,CHI,UTA,W (+5),40,14,33,0.424,0,2,0,9,10,0.9,3,2,5,3,1,1,0,37,24.8,
18,1998-06-07,FIN,3,CHI,UTA,W (+42),32,7,14,0.5,0,0,,10,11,0.909,1,2,3,2,1,1,2,24,18.6,
19,1998-06-10,FIN,4,CHI,UTA,W (+4),43,12,27,0.444,0,0,,10,15,0.667,3,5,8,2,2,0,3,34,21.5,
20,1998-06-12,FIN,5,CHI,UTA,L (-2),45,9,26,0.346,0,2,0,10,11,0.909,1,3,4,4,3,0,4,28,14.8,
21,1998-06-14,FIN,6,CHI,UTA,W (+1),44,15,35,0.429,3,7,0.429,12,15,0.8,0,1,1,1,4,0,1,45,28.5,
