game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
18,2014-12-05,29-340,CLE,TOR,W (+14),42,9,18,0.5,2,4,0.5,4,6,0.667,0,7,7,13,3,1,4,24,24.3,11
19,2014-12-08,29-343,CLE,BRK,W (+22),34,8,17,0.471,1,3,0.333,1,2,0.5,0,4,4,7,3,0,3,18,14.2,20
20,2014-12-09,29-344,CLE,TOR,W (+4),42,12,21,0.571,2,5,0.4,9,9,1,1,1,2,4,2,2,2,35,29.9,7
21,2014-12-12,29-347,CLE,NOP,L (-5),38,17,24,0.708,2,2,1,5,8,0.625,0,5,5,5,0,1,2,41,33.1,-3
22,2014-12-15,29-350,CLE,CHO,W (+9),40,11,19,0.579,2,3,0.667,3,4,0.75,0,7,7,14,1,3,5,27,26.9,16
23,2014-12-17,29-352,CLE,ATL,L (-29),29,8,16,0.5,0,2,0,5,7,0.714,0,3,3,2,2,0,2,21,14.5,-18
24,2014-12-19,29-354,CLE,BRK,W (+4),40,7,18,0.389,2,4,0.5,6,8,0.75,1,3,4,9,2,0,4,22,15.7,-5
25,2014-12-21,29-356,CLE,MEM,W (+14),38,9,15,0.6,3,5,0.6,4,6,0.667,0,1,1,11,0,1,5,25,20.6,8
26,2014-12-23,29-358,CLE,MIN,W (+21),35,8,16,0.5,4,7,0.571,4,5,0.8,0,4,4,3,1,3,2,24,18.8,22
27,2014-12-25,29-360,CLE,MIA,L (-10),40,9,16,0.563,2,8,0.25,10,18,0.556,0,4,4,8,0,0,4,30,21.6,-9
28,2014-12-26,29-361,CLE,ORL,W (+9),37,10,20,0.5,0,5,0,9,11,0.818,0,5,5,8,2,2,4,29,24.3,7
29,2014-12-28,29-363,CLE,DET,L (-23),32,5,19,0.263,2,6,0.333,5,5,1,1,9,10,7,1,0,7,17,6.8,-17
30,2015-01-13,30-014,CLE,PHO,L (-7),37,11,18,0.611,3,8,0.375,8,13,0.615,1,6,7,5,1,0,5,33,23.6,4
31,2015-01-15,30-016,CLE,LAL,W (+7),38,12,23,0.522,4,9,0.444,8,13,0.615,1,3,4,5,2,0,1,36,28,15
32,2015-01-16,30-017,CLE,LAC,W (+5),42,11,23,0.478,3,8,0.375,7,12,0.583,0,11,11,7,3,0,9,32,18.9,8
33,2015-01-19,30-020,CLE,CHI,W (+14),36,12,23,0.522,0,3,0,2,3,0.667,1,4,5,4,0,0,6,26,11.4,16
34,2015-01-21,30-022,CLE,UTA,W (+14),36,8,16,0.5,0,2,0,10,14,0.714,2,5,7,9,4,0,7,26,22.6,14
35,2015-01-23,30-024,CLE,CHO,W (+39),27,9,15,0.6,2,4,0.5,5,6,0.833,1,5,6,9,4,1,2,25,28.5,31
36,2015-01-25,30-026,CLE,OKC,W (+10),39,11,25,0.44,2,6,0.333,10,13,0.769,0,7,7,5,1,2,2,34,25.3,5
37,2015-01-27,30-028,CLE,DET,W (+8),36,11,24,0.458,0,4,0,10,11,0.909,0,6,6,7,1,0,4,32,21.7,0
38,2015-01-30,30-031,CLE,SAC,W (+11),33,7,16,0.438,1,4,0.25,4,6,0.667,0,3,3,7,4,2,6,19,14.6,13
39,2015-01-31,30-032,CLE,MIN,W (+16),40,14,25,0.56,3,8,0.375,5,8,0.625,3,3,6,5,0,1,2,36,27.7,25
40,2015-02-02,30-034,CLE,PHI,W (+13),36,6,17,0.353,1,4,0.25,5,6,0.833,0,3,3,11,2,0,6,18,11.9,19
41,2015-02-05,30-037,CLE,LAC,W (+11),28,8,14,0.571,1,2,0.5,6,7,0.857,0,3,3,9,1,0,2,23,22.2,28
42,2015-02-06,30-038,CLE,IND,L (-4),39,10,21,0.476,0,4,0,5,8,0.625,0,6,6,5,2,1,7,25,12.9,-3
43,2015-02-08,30-040,CLE,LAL,W (+15),30,8,16,0.5,2,7,0.286,4,5,0.8,2,8,10,8,1,0,6,22,17.2,15
44,2015-02-11,30-043,CLE,MIA,W (+20),31,6,16,0.375,0,4,0,6,7,0.857,0,9,9,7,1,0,5,18,11.6,19
45,2015-02-12,30-044,CLE,CHI,L (-15),34,12,26,0.462,2,9,0.222,5,6,0.833,0,5,5,4,0,0,8,31,12.3,-27
46,2015-02-20,30-052,CLE,WAS,W (+38),25,12,21,0.571,3,5,0.6,1,3,0.333,0,5,5,6,1,0,2,28,20.8,30
47,2015-02-22,30-054,CLE,NYK,W (+18),28,7,17,0.412,1,6,0.167,3,5,0.6,0,7,7,7,2,0,4,18,12.3,14
48,2015-02-24,30-056,CLE,DET,W (+9),39,6,14,0.429,1,5,0.2,6,10,0.6,0,7,7,11,3,1,9,19,13.3,27
49,2015-02-26,30-058,CLE,GSW,W (+11),36,15,25,0.6,4,9,0.444,8,11,0.727,1,10,11,5,3,1,6,42,32.2,9
50,2015-03-01,30-061,CLE,HOU,L (-2),42,15,35,0.429,4,12,0.333,3,11,0.273,2,6,8,4,3,3,4,37,20.8,-8
