game,date,series,series_game,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,plus_minus
16,2007-06-02,ECF,6,CLE,DET,W (+16),46,3,11,0.273,0,2,0,14,19,0.737,2,12,14,8,2,2,3,20,22.1,13
17,2007-06-07,FIN,1,CLE,SAS,L (-9),44,4,16,0.25,2,6,0.333,4,4,1,1,6,7,4,1,1,6,14,5,-5
18,2007-06-10,FIN,2,CLE,SAS,L (-11),38,9,21,0.429,0,2,0,7,11,0.636,3,4,7,6,1,0,6,25,13.6,-5
19,2007-06-12,FIN,3,CLE,SAS,L (-3),42,9,23,0.391,0,5,0,7,8,0.875,0,8,8,7,2,1,5,25,15.9,4
20,2007-06-14,FIN,4,CLE,SAS,L (-1),46,10,30,0.333,2,7,0.286,2,6,0.333,0,6,6,10,0,0,6,24,7.8,2
1,2008-04-19,EC1,1,CLE,WAS,W (+7),41,12,19,0.632,0,2,0,8,14,0.571,0,6,6,4,1,2,1,32,26.7,9
2,2008-04-21,EC1,2,CLE,WAS,W (+30),39,9,19,0.474,2,6,0.333,10,17,0.588,1,8,9,12,1,2,1,30,29.6,34
3,2008-04-24,EC1,3,CLE,WAS,L (-36),36,10,19,0.526,0,4,0,2,4,0.5,0,7,7,3,1,1,4,22,12.6,-24
4,2008-04-27,EC1,4,CLE,WAS,W (+3),44,11,25,0.44,3,8,0.375,9,14,0.643,2,10,12,7,2,0,5,34,23.2,3
5,2008-04-30,EC1,5,CLE,WAS,L (-1),44,8,21,0.381,3,9,0.333,15,18,0.833,2,8,10,7,1,2,5,34,27.4,-3
6,2008-05-02,EC1,6,CLE,WAS,W (+17),44,8,17,0.471,1,2,0.5,10,10,1,2,11,13,13,2,1,1,27,33,26
7,2008-05-06,ECS,1,CLE,BOS,L (-4),39,2,18,0.111,0,6,0,8,10,0.8,2,7,9,9,1,1,10,12,-0.7,-7
8,2008-05-08,ECS,2,CLE,BOS,L (-16),42,6,24,0.25,0,4,0,9,13,0.692,2,3,5,6,2,1,7,21,6.8,-15
9,2008-05-10,ECS,3,CLE,BOS,W (+24),40,5,16,0.313,3,5,0.6,8,12,0.667,0,5,5,8,4,3,2,21,20.2,29
10,2008-05-12,ECS,4,CLE,BOS,W (+11),44,7,20,0.35,2,5,0.4,5,8,0.625,1,5,6,13,3,2,4,21,19.1,15
11,2008-05-14,ECS,5,CLE,BOS,L (-7),45,12,25,0.48,0,5,0,11,13,0.846,0,3,3,5,1,1,4,35,22.4,-8
12,2008-05-16,ECS,6,CLE,BOS,W (+5),47,9,23,0.391,1,3,0.333,13,15,0.867,3,9,12,6,2,1,8,32,21.6,7
13,2008-05-18,ECS,7,CLE,BOS,L (-5),47,14,29,0.483,3,11,0.273,14,19,0.737,1,4,5,6,2,0,2,45,32.8,0
1,2009-04-18,EC1,1,CLE,DET,W (+18),41,13,20,0.65,1,4,0.25,11,14,0.786,0,8,8,7,1,0,0,38,35.9,22
2,2009-04-21,EC1,2,CLE,DET,W (+12),38,7,14,0.5,2,5,0.4,13,17,0.765,1,12,13,6,0,0,2,29,26.5,21
3,2009-04-24,EC1,3,CLE,DET,W (+11),43,9,19,0.474,0,5,0,7,11,0.636,2,9,11,9,3,2,2,25,26.5,13
4,2009-04-26,EC1,4,CLE,DET,W (+21),41,10,24,0.417,0,3,0,16,17,0.941,1,12,13,8,2,1,2,36,32.2,10
